Date,Close,High,Low,Open,Volume
17-09-2014,457.334,468.174,452.422,465.864,21056800
18-09-2014,424.44,456.86,413.104,456.86,34483200
19-09-2014,394.796,427.835,384.532,424.103,37919700
20-09-2014,408.904,423.296,389.883,394.673,36863600
21-09-2014,398.821,412.426,393.181,408.085,26580100
22-09-2014,402.152,406.916,397.13,399.1,24127600
23-09-2014,435.791,441.557,396.197,402.092,45099500
24-09-2014,423.205,436.112,421.132,435.751,30627700
25-09-2014,411.574,423.52,409.468,423.156,26814400
26-09-2014,404.425,414.938,400.009,411.429,21460800
27-09-2014,399.52,406.623,397.372,403.556,15029300
28-09-2014,377.181,401.017,374.332,399.471,23613300
29-09-2014,375.467,385.211,372.24,376.928,32497700
30-09-2014,386.944,390.977,373.443,376.088,34707300
01-10-2014,383.615,391.379,380.78,387.427,26229400
02-10-2014,375.072,385.497,372.946,383.988,21777700
03-10-2014,359.512,377.695,357.859,375.181,30901200
04-10-2014,328.866,364.487,325.886,359.892,47236500
05-10-2014,320.51,341.801,289.296,328.916,83308096
06-10-2014,330.079,345.134,302.56,320.389,79011800
07-10-2014,336.187,339.247,320.482,330.584,49199900
08-10-2014,352.94,354.364,327.188,336.116,54736300
09-10-2014,365.026,382.726,347.687,352.748,83641104
10-10-2014,361.562,375.067,352.963,364.687,43665700
11-10-2014,362.299,367.191,355.951,361.362,13345200
12-10-2014,378.549,379.433,356.144,362.606,17552800
13-10-2014,390.414,397.226,368.897,377.921,35221400
14-10-2014,400.87,411.698,391.324,391.692,38491500
15-10-2014,394.773,402.227,388.766,400.955,25267100
16-10-2014,382.556,398.807,373.07,394.518,26990000
17-10-2014,383.758,385.478,375.389,382.756,13600700
18-10-2014,391.442,395.158,378.971,383.976,11416800
19-10-2014,389.546,393.939,386.457,391.254,5914570
20-10-2014,382.845,390.084,378.252,389.231,16419000
21-10-2014,386.475,392.646,380.834,382.421,14188900
22-10-2014,383.158,388.576,382.249,386.118,11641300
23-10-2014,358.417,385.048,356.447,382.962,26456900
24-10-2014,358.345,364.345,353.305,358.591,15585700
25-10-2014,347.271,359.861,342.877,358.611,18127500
26-10-2014,354.704,359.221,343.931,347.487,11272500
27-10-2014,352.989,358.632,349.809,354.777,13033000
28-10-2014,357.618,359.984,352.679,353.215,7845880
29-10-2014,335.591,357.833,335.343,357.089,18192700
30-10-2014,345.305,350.913,335.072,335.709,30177900
31-10-2014,338.321,348.045,337.142,345.009,12545400
01-11-2014,325.749,340.529,321.055,338.65,16677200
02-11-2014,325.892,329.05,320.626,326.075,8603620
03-11-2014,327.554,334.002,325.481,325.569,12948500
04-11-2014,330.492,331.767,325.077,327.161,15655500
05-11-2014,339.486,343.369,330.683,330.683,19817200
06-11-2014,349.29,352.966,338.424,339.458,18797000
07-11-2014,342.415,352.732,341.776,349.818,16834200
08-11-2014,345.488,347.032,342.154,342.154,8535470
09-11-2014,363.264,363.626,344.255,345.376,24205600
10-11-2014,366.924,374.816,357.561,362.265,30450100
11-11-2014,367.695,371.31,363.735,365.857,15838900
12-11-2014,423.561,429.718,367.985,367.985,45783200
13-11-2014,420.735,457.093,401.123,427.273,58945000
14-11-2014,397.818,419.252,384.789,418.417,29589200
15-11-2014,376.133,405.528,371.008,399.65,15727500
16-11-2014,387.882,390.799,374.602,374.73,11905600
17-11-2014,387.408,410.199,377.502,388.349,41518800
18-11-2014,375.198,392.402,371.117,387.785,32222500
19-11-2014,380.555,386.481,373.896,373.896,18931800
20-11-2014,357.84,382.025,356.781,380.307,25233200
21-11-2014,350.848,357.879,344.112,357.879,29850100
22-11-2014,352.92,364.841,350.878,351.604,15273000
23-11-2014,367.573,370.845,353.175,353.175,15151600
24-11-2014,376.901,387.209,366.669,366.948,30930100
25-11-2014,375.348,394.701,374.784,376.886,25442200
